agent,scenario_label,n,high_cost_n,high_cost_rate,lift_vs_overall
Copilot,S2_Human_coedited,1487,1312,0.8823133826496301,3.441165591304501
Devin,S1_Human_reviewed,1541,1349,0.8754055807916937,3.4142240413603138
Devin,S2_Human_coedited,1372,1077,0.7849854227405247,3.0615707293232726
Copilot,S1_Human_reviewed,2056,1525,0.7417315175097277,2.8928734690337605
Cursor,S2_Human_coedited,476,315,0.6617647058823529,2.5809899069913547
Cursor,S1_Human_reviewed,281,171,0.608540925266904,2.3734085123365345
Claude_Code,S2_Human_coedited,253,150,0.5928853754940712,2.312349323786721
Devin,S0_Solo_agent,1914,808,0.4221525600835946,1.6464635951437712
Claude_Code,S1_Human_reviewed,54,21,0.3888888888888889,1.5167298712689938
OpenAI_Codex,S1_Human_reviewed,273,91,0.3333333333333333,1.3000541753734232
